,time,Acetate,sR12,NO3,NO2,N2O
0,0.0,18.03136034,0.01093,9.14450462,0.099779154,0.0
1,23.0,17.79063901,0.01587,8.967896157,0.156697184,0.015331333
2,42.0,18.42757869,0.0203,9.531939438,0.079565274,0.007610667
3,53.0,,0.02387,,,
4,71.0,18.2586252,0.04493,8.64944902,0.107758317,0.316666667
5,77.0,18.53747321,0.062467,8.662694655,0.094459712,0.534580018
6,95.0,17.32190523,0.106167,7.075977988,0.126908308,1.814981131
7,119.0,16.72309223,0.17189,5.45062822,0.139143025,3.74049231
8,142.0,16.00840405,0.2235,4.374420394,0.126908308,4.162338134
9,165.0,15.13971402,0.289167,3.323048133,0.124780531,4.300581553
10,190.0,,0.31967,,,
11,216.0,14.23514007,0.3683,1.845607953,0.094459712,4.247256895
12,241.0,,0.371,,,
13,268.0,,0.39,,,
14,314.0,,0.4283,,,
15,336.0,12.6173731,0.41167,0.110429796,0.093395823,4.10212792
