,Line,Strain,Counts,Percent
0,3H11_20-R1,FW510-R12,1981102276.0,36.540083094223725
1,3H11_20-R1,GW101-3H11,3440621234.84,63.45991690577627
2,3H11_20-R2,FW510-R12,2135664366.45,38.21338429211432
3,3H11_20-R2,GW101-3H11,3453121882.17,61.78661570788569
4,3H11_20-R3,FW510-R12,2092511347.43,38.14845959390739
5,3H11_20-R3,GW101-3H11,3392667791.4,61.85154040609261
6,3H11_20-R4,FW510-R12,2106311355.39,38.34618728137104
7,3H11_20-R4,GW101-3H11,3386572043.772,61.65381271862897
8,3H11_20-R5,FW510-R12,2147725010.7,38.25171358478746
9,3H11_20-R5,GW101-3H11,3466990800.5,61.74828641521254
10,3H11_20-R6,FW510-R12,2246829204.27,40.3997548179711
11,3H11_20-R6,GW101-3H11,3314662974.07,59.6002451820289
12,3H11_20-R7,FW510-R12,2113576776.84,38.14337289871764
13,3H11_20-R7,GW101-3H11,3427560821.17,61.856627101282356
14,3H11_20-R8,FW510-R12,2239253192.71,40.26198918285156
15,3H11_20-R8,GW101-3H11,3322452123.29,59.73801081714844
16,3H11_35-R1,FW510-R12,1812554861.8,34.64679795702245
17,3H11_35-R1,GW101-3H11,3418967150.85,65.35320204297756
18,3H11_35-R2,FW510-R12,1610753874.52,31.464172869146346
19,3H11_35-R2,GW101-3H11,3508573053.98,68.53582713085365
20,3H11_35-R3,FW510-R12,1908721255.97,35.33589195949007
21,3H11_35-R3,GW101-3H11,3492928879.7,64.66410804050993
22,3H11_35-R4,FW510-R12,1634221823.99,31.536502595001284
23,3H11_35-R4,GW101-3H11,3547778998.92,68.46349740499872
24,3H11_35-R5,FW510-R12,1801968421.95,33.61831507011496
25,3H11_35-R5,GW101-3H11,3558111100.75,66.38168492988504
26,3H11_35-R6,FW510-R12,1916877963.53,35.28505598580011
27,3H11_35-R6,GW101-3H11,3515671057.51,64.71494401419989
28,3H11_35-R7,FW510-R12,1548283718.46,29.374480185329375
29,3H11_35-R7,GW101-3H11,3722562637.6,70.62551981467064
30,3H11_35-R8,FW510-R12,1956646131.93,35.564005817869536
31,3H11_35-R8,GW101-3H11,3545113545.96,64.43599418213046
32,3H11_5-R1,FW510-R12,2129452354.64,38.8792067271967
33,3H11_5-R1,GW101-3H11,3347645904.03,61.1207932728033
34,3H11_5-R2,FW510-R12,2273969915.39,41.14761109169883
35,3H11_5-R2,GW101-3H11,3252401737.93,58.85238890830118
36,3H11_5-R3,FW510-R12,2337457644.89,42.910143183021496
37,3H11_5-R3,GW101-3H11,3109873618.77,57.08985681697851
38,3H11_5-R4,FW510-R12,2354561994.16,43.26377646956447
39,3H11_5-R4,GW101-3H11,3087778426.16,56.73622353043554
40,3H11_5-R5,FW510-R12,2312000899.32,41.61313126129233
41,3H11_5-R5,GW101-3H11,3243939807.96,58.38686873870766
42,3H11_5-R6,FW510-R12,2430950585.7,43.358463391878736
43,3H11_5-R6,GW101-3H11,3175683956.97,56.64153660812126
44,3H11_5-R7,FW510-R12,2375637716.36,42.7360945666034
45,3H11_5-R7,GW101-3H11,3183217720.6,57.2639054333966
46,3H11_5-R8,FW510-R12,2246036200.22,40.5518720114057
47,3H11_5-R8,GW101-3H11,3292638314.21,59.448127988594294
48,3H11_50-R1,FW510-R12,1779605138.6000001,34.97351025152389
49,3H11_50-R1,GW101-3H11,3308832155.23,65.02648974847611
50,3H11_50-R2,FW510-R12,1872477874.53,35.17815572615794
51,3H11_50-R2,GW101-3H11,3450364769.94,64.82184427384206
52,3H11_50-R3,FW510-R12,1752874985.64,33.41717663343551
53,3H11_50-R3,GW101-3H11,3492556143.59,66.58282336656448
54,3H11_50-R4,FW510-R12,1856198689.73,34.67092577451617
55,3H11_50-R4,GW101-3H11,3497562850.42,65.32907422548384
56,3H11_50-R5,FW510-R12,1830812767.43,34.38411687209852
57,3H11_50-R5,GW101-3H11,3493775833.29,65.61588312790148
58,3H11_50-R6,FW510-R12,1635953971.6,31.296566247988526
59,3H11_50-R6,GW101-3H11,3591309488.03,68.70343375201148
60,3H11_50-R7,FW510-R12,1129313744.58,24.11043439557371
61,3H11_50-R7,GW101-3H11,3554607440.96,75.8895656044263
62,3H11_50-R8,FW510-R12,1747236284.29,32.7329618914311
63,3H11_50-R8,GW101-3H11,3590613342.9,67.26703810856888
64,3H11_65-R1,FW510-R12,1767866316.1299999,33.78743199701075
65,3H11_65-R1,GW101-3H11,3464452956.57,66.21256800298926
66,3H11_65-R2,FW510-R12,1939380645.99,36.20835606811095
67,3H11_65-R2,GW101-3H11,3416788085.73,63.79164393188905
68,3H11_65-R3,FW510-R12,1532914829.37,30.311004680095852
69,3H11_65-R3,GW101-3H11,3524373259.72,69.68899531990415
70,3H11_65-R4,FW510-R12,1831795954.3,35.27818649477271
71,3H11_65-R4,GW101-3H11,3360636356.73,64.72181350522729
72,3H11_65-R5,FW510-R12,2054226194.5,37.43335025060643
73,3H11_65-R5,GW101-3H11,3433463741.7400002,62.56664974939357
74,3H11_65-R6,FW510-R12,1656334830.48,32.15027488426871
75,3H11_65-R6,GW101-3H11,3495517949.7599998,67.84972511573129
76,3H11_65-R7,FW510-R12,1869773055.78,34.77370291439452
77,3H11_65-R7,GW101-3H11,3507201206.59,65.22629708560548
78,3H11_65-R8,FW510-R12,1496458585.31,29.49456046315973
79,3H11_65-R8,GW101-3H11,3577217922.53,70.50543953684027
80,3H11_80-R1,FW510-R12,1977692116.5,36.08766708440466
81,3H11_80-R1,GW101-3H11,3502551624.04,63.91233291559534
82,3H11_80-R2,FW510-R12,1667662986.32,31.368026619752005
83,3H11_80-R2,GW101-3H11,3648779155.66,68.631973380248
84,3H11_80-R3,FW510-R12,2115382775.7,38.66293642554786
85,3H11_80-R3,GW101-3H11,3355962577.94,61.33706357445214
86,3H11_80-R4,FW510-R12,1980930845.75,37.29340844749445
87,3H11_80-R4,GW101-3H11,3330814388.1,62.70659155250554
88,3H11_80-R5,FW510-R12,2123165514.08,38.64858620263096
89,3H11_80-R5,GW101-3H11,3370348538.28,61.351413797369034
90,3H11_80-R6,FW510-R12,2154900877.45,38.82944174496464
91,3H11_80-R6,GW101-3H11,3394756239.96,61.17055825503536
92,3H11_80-R7,FW510-R12,2009497924.21,36.56269792337454
93,3H11_80-R7,GW101-3H11,3486535022.87,63.43730207662546
94,3H11_80-R8,FW510-R12,2134710005.63,38.667307915861535
95,3H11_80-R8,GW101-3H11,3386000177.44,61.332692084138465
96,3H11_95-R1,FW510-R12,2215887130.32,39.78758685345158
97,3H11_95-R1,GW101-3H11,3353405469.61,60.21241314654842
98,3H11_95-R2,FW510-R12,2357777881.38,42.3661725346073
99,3H11_95-R2,GW101-3H11,3207459052.53,57.6338274653927
100,3H11_95-R3,FW510-R12,2031451543.07,37.173481129943035
101,3H11_95-R3,GW101-3H11,3433335399.9900002,62.82651887005696
102,3H11_95-R4,FW510-R12,2199399224.84,39.969736094332724
103,3H11_95-R4,GW101-3H11,3303262137.87,60.03026390566727
104,3H11_95-R5,FW510-R12,1916452189.07,35.651343024661585
105,3H11_95-R5,GW101-3H11,3459087766.73,64.34865697533841
106,3H11_95-R6,FW510-R12,1964803553.64,36.13730643306235
107,3H11_95-R6,GW101-3H11,3472246817.78,63.86269356693765
108,3H11_95-R7,FW510-R12,2312527897.66,41.08005094491122
109,3H11_95-R7,GW101-3H11,3316793012.29,58.91994905508878
110,3H11_95-R8,FW510-R12,1992138606.47,36.43010697411089
111,3H11_95-R8,GW101-3H11,3476246671.36,63.56989302588911
112,3H11_98-R1,FW510-R12,1859116361.49,39.88641520339101
113,3H11_98-R1,GW101-3H11,2801910085.76,60.11358479660899
114,3H11_98-R2,FW510-R12,1897976838.44,34.720935393910075
115,3H11_98-R2,GW101-3H11,3568399043.74,65.27906460608992
116,3H11_98-R3,FW510-R12,1865295582.98,34.81460464366203
117,3H11_98-R3,GW101-3H11,3492500669.69,65.18539535633796
118,3H11_98-R4,FW510-R12,1838062827.28,35.373002949341995
119,3H11_98-R4,GW101-3H11,3358167840.25,64.626997050658
120,3H11_98-R5,FW510-R12,1941566615.1299999,36.87069222265548
121,3H11_98-R5,GW101-3H11,3324313947.69,63.12930777734453
122,3H11_98-R6,FW510-R12,1288142485.48,26.69768456804065
123,3H11_98-R6,GW101-3H11,3536779624.14,73.30231543195936
124,3H11_98-R7,FW510-R12,2032980046.58,39.92290313988811
125,3H11_98-R7,GW101-3H11,3059285011.04,60.077096860111894
126,3H11_98-R8,FW510-R12,1434187834.1,38.73436354014995
127,3H11_98-R8,GW101-3H11,2268436148.9,61.26563645985005
128,3H11_T0-R1,FW510-R12,5425151833.1,93.55262606787649
129,3H11_T0-R1,GW101-3H11,373885629.69,6.447373932123527
130,3H11_T0-R2,FW510-R12,4421227181.7,85.03819604019309
131,3H11_T0-R2,GW101-3H11,777880263.63,14.961803959806915
132,3H11_T0-R3,FW510-R12,2818475755.12,59.62941764061937
133,3H11_T0-R3,GW101-3H11,1908177408.1,40.37058235938064
134,3H11_T0-R4,FW510-R12,2446204472.36,53.56292618206459
135,3H11_T0-R4,GW101-3H11,2120768706.15,46.43707381793541
136,3H11_T0-R5,FW510-R12,2091678171.97,39.76666601166867
137,3H11_T0-R5,GW101-3H11,3168199966.56,60.23333398833134
138,3H11_T0-R6,FW510-R12,1291802776.6,23.753316810634534
139,3H11_T0-R6,GW101-3H11,4146607306.92,76.24668318936546
140,3H11_T0-R7,FW510-R12,211828172.2,5.2378969979869225
141,3H11_T0-R7,GW101-3H11,3832317260.24,94.76210300201309
142,3H11_T0-R8,FW510-R12,62150256.24,1.4673292542005512
143,3H11_T0-R8,GW101-3H11,4173453720.31,98.53267074579945
