sample,org,time,rep
X_SynCom_A_T42_repeat_L1,SynCom,T42,A
X_SynCom_B_T42_repeat_L1,SynCom,T42,B
X_SynCom_C_T42_repeat_L1,SynCom,T42,C
X_SynCom_A_T53_repeat_L1,SynCom,T53,A
X_SynCom_B_T53_repeat_L1,SynCom,T53,B
X_SynCom_C_T53_repeat_L1,SynCom,T53,C
X_SynCom_A_T71_repeat_L1,SynCom,T71,A
X_SynCom_B_T71_repeat_L1,SynCom,T71,B
X_SynCom_C_T71_repeat_L1,SynCom,T71,C
X_R12_A_T77_repeat_L1,R12,T77,A
X_R12_B_T77_repeat_L1,R12,T77,B
X_R12_C_T77_repeat_L1,R12,T77,C
X_R12_A_T95_repeat_L1,R12,T95,A
X_R12_B_T95_repeat_L1,R12,T95,B
X_R12_C_T95_repeat_L1,R12,T95,C
X_SynCom_A_T95_repeat_L1,SynCom,T95,A
X_SynCom_B_T95_repeat_L1,SynCom,T95,B
X_SynCom_C_T95_repeat_L1,SynCom,T95,C
X_R12_A_T119_repeat_L1,R12,T119,A
X_R12_B_T119_repeat_L1,R12,T119,B
X_R12_C_T119_repeat_L1,R12,T119,C
X_SynCom_A_T142_repeat_L1,SynCom,T142,A
X_SynCom_B_T142_repeat_L1,SynCom,T142,B
X_SynCom_C_T142_repeat_L1,SynCom,T142,C
X_R12_A_T216_repeat_L1,R12,T216,A
X_R12_B_T216_repeat_L1,R12,T216,B
X_R12_C_T216_repeat_L1,R12,T216,C
